"","lasso.std_coefs"
"host_since",0
"host_response_timeN/A",37.6943529375071
"host_response_timewithin a day",-64.3211012840661
"host_response_timewithin a few hours",0
"host_response_timewithin an hour",-10.898700590086
"host_response_rate",-0.00122166319656162
"host_is_superhostt",0
"host_listings_count",-0.000215047624656156
"host_total_listings_count",0
"host_verifications['email', 'facebook', 'reviews']",1357.57290301831
"host_verifications['email', 'linkedin', 'reviews', 'jumio', 'government_id', 'work_email']",NA
"host_verifications['email', 'phone', 'amex', 'kba']",0
"host_verifications['email', 'phone', 'amex', 'reviews', 'jumio', 'government_id']",0
"host_verifications['email', 'phone', 'amex', 'reviews', 'jumio', 'kba', 'work_email']",-1137.31280546027
"host_verifications['email', 'phone', 'amex', 'reviews', 'jumio', 'offline_government_id', 'kba', 'selfie', 'government_id', 'identity_manual', 'work_email']",-578.80092710789
"host_verifications['email', 'phone', 'amex', 'reviews', 'jumio', 'work_email']",0
"host_verifications['email', 'phone', 'amex', 'reviews', 'jumio']",0
"host_verifications['email', 'phone', 'amex', 'reviews', 'kba', 'work_email']",0
"host_verifications['email', 'phone', 'amex', 'reviews', 'kba']",0
"host_verifications['email', 'phone', 'facebook', 'amex', 'reviews', 'jumio', 'government_id']",NA
"host_verifications['email', 'phone', 'facebook', 'amex', 'reviews', 'kba', 'work_email']",NA
"host_verifications['email', 'phone', 'facebook', 'google', 'amex', 'reviews', 'jumio', 'government_id']",-2777.53449077724
"host_verifications['email', 'phone', 'facebook', 'google', 'amex', 'reviews', 'jumio', 'offline_government_id', 'government_id']",0
"host_verifications['email', 'phone', 'facebook', 'google', 'amex', 'reviews', 'jumio']",4547.96793694338
"host_verifications['email', 'phone', 'facebook', 'google', 'amex', 'reviews', 'kba']",0
"host_verifications['email', 'phone', 'facebook', 'google', 'amex', 'reviews', 'work_email']",0
"host_verifications['email', 'phone', 'facebook', 'google', 'kba']",0
"host_verifications['email', 'phone', 'facebook', 'google', 'linkedin', 'amex', 'reviews', 'jumio', 'kba']",-3821.28963707215
"host_verifications['email', 'phone', 'facebook', 'google', 'linkedin', 'amex', 'reviews', 'jumio']",0
"host_verifications['email', 'phone', 'facebook', 'google', 'linkedin', 'amex', 'reviews', 'kba', 'work_email']",NA
"host_verifications['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'jumio', 'government_id', 'work_email']",NA
"host_verifications['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'jumio', 'government_id']",1907.40280841987
"host_verifications['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'jumio', 'offline_government_id', 'government_id']",NA
"host_verifications['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",0
"host_verifications['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'jumio', 'work_email']",0
"host_verifications['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'jumio']",20.0337325515161
"host_verifications['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'kba', 'work_email']",0
"host_verifications['email', 'phone', 'facebook', 'google', 'reviews', 'jumio', 'kba', 'work_email']",NA
"host_verifications['email', 'phone', 'facebook', 'google', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",NA
"host_verifications['email', 'phone', 'facebook', 'google', 'reviews', 'jumio', 'offline_government_id', 'kba', 'government_id', 'work_email']",0
"host_verifications['email', 'phone', 'facebook', 'google', 'reviews', 'jumio', 'offline_government_id', 'kba', 'selfie', 'government_id', 'identity_manual', 'work_email']",0
"host_verifications['email', 'phone', 'facebook', 'google', 'reviews', 'jumio']",0
"host_verifications['email', 'phone', 'facebook', 'google', 'reviews', 'kba', 'work_email']",0
"host_verifications['email', 'phone', 'facebook', 'google', 'reviews', 'kba']",0
"host_verifications['email', 'phone', 'facebook', 'google', 'reviews', 'selfie']",0
"host_verifications['email', 'phone', 'facebook', 'google', 'reviews', 'work_email']",0
"host_verifications['email', 'phone', 'facebook', 'jumio', 'government_id']",0
