"","lasso.std_coefs"
"host_since",0
"host_response_timeN/A",4.91309589916705
"host_response_timewithin a day",-5.3749037685411
"host_response_timewithin a few hours",0
"host_response_timewithin an hour",-2.71474975174486
"host_response_rate",-0.128621102692905
"host_is_superhostt",0
"host_listings_count",-10.7983629897906
"host_total_listings_count",0
"host_verifications['email', 'facebook', 'reviews']",0.557524806167684
"host_verifications['email', 'linkedin', 'reviews', 'jumio', 'government_id', 'work_email']",0
"host_verifications['email', 'phone', 'amex', 'kba']",0
"host_verifications['email', 'phone', 'amex', 'reviews', 'jumio', 'government_id']",0
"host_verifications['email', 'phone', 'amex', 'reviews', 'jumio', 'kba', 'work_email']",-3.26142286829847
"host_verifications['email', 'phone', 'amex', 'reviews', 'jumio', 'offline_government_id', 'kba', 'selfie', 'government_id', 'identity_manual', 'work_email']",-4.24872707397358
"host_verifications['email', 'phone', 'amex', 'reviews', 'jumio', 'work_email']",0
"host_verifications['email', 'phone', 'amex', 'reviews', 'jumio']",0
"host_verifications['email', 'phone', 'amex', 'reviews', 'kba', 'work_email']",0
"host_verifications['email', 'phone', 'amex', 'reviews', 'kba']",0
"host_verifications['email', 'phone', 'facebook', 'amex', 'reviews', 'jumio', 'government_id']",0
"host_verifications['email', 'phone', 'facebook', 'amex', 'reviews', 'kba', 'work_email']",0
"host_verifications['email', 'phone', 'facebook', 'google', 'amex', 'reviews', 'jumio', 'government_id']",-1.14067124877915
"host_verifications['email', 'phone', 'facebook', 'google', 'amex', 'reviews', 'jumio', 'offline_government_id', 'government_id']",0
"host_verifications['email', 'phone', 'facebook', 'google', 'amex', 'reviews', 'jumio']",3.73396256340556
"host_verifications['email', 'phone', 'facebook', 'google', 'amex', 'reviews', 'kba']",0
"host_verifications['email', 'phone', 'facebook', 'google', 'amex', 'reviews', 'work_email']",0
"host_verifications['email', 'phone', 'facebook', 'google', 'kba']",0
"host_verifications['email', 'phone', 'facebook', 'google', 'linkedin', 'amex', 'reviews', 'jumio', 'kba']",-3.13734675498762
"host_verifications['email', 'phone', 'facebook', 'google', 'linkedin', 'amex', 'reviews', 'jumio']",0
"host_verifications['email', 'phone', 'facebook', 'google', 'linkedin', 'amex', 'reviews', 'kba', 'work_email']",0
"host_verifications['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'jumio', 'government_id', 'work_email']",0
"host_verifications['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'jumio', 'government_id']",0.78332764206155
"host_verifications['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'jumio', 'offline_government_id', 'government_id']",0
"host_verifications['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",0
"host_verifications['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'jumio', 'work_email']",0
"host_verifications['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'jumio']",0.0164480507316232
"host_verifications['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'kba', 'work_email']",0
"host_verifications['email', 'phone', 'facebook', 'google', 'reviews', 'jumio', 'kba', 'work_email']",0
"host_verifications['email', 'phone', 'facebook', 'google', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",0
"host_verifications['email', 'phone', 'facebook', 'google', 'reviews', 'jumio', 'offline_government_id', 'kba', 'government_id', 'work_email']",0
"host_verifications['email', 'phone', 'facebook', 'google', 'reviews', 'jumio', 'offline_government_id', 'kba', 'selfie', 'government_id', 'identity_manual', 'work_email']",0
"host_verifications['email', 'phone', 'facebook', 'google', 'reviews', 'jumio']",0
"host_verifications['email', 'phone', 'facebook', 'google', 'reviews', 'kba', 'work_email']",0
"host_verifications['email', 'phone', 'facebook', 'google', 'reviews', 'kba']",0
"host_verifications['email', 'phone', 'facebook', 'google', 'reviews', 'selfie']",0
"host_verifications['email', 'phone', 'facebook', 'google', 'reviews', 'work_email']",0
"host_verifications['email', 'phone', 'facebook', 'jumio', 'government_id']",0
"host_verifications['email', 'phone', 'facebook', 'jumio', 'kba']",0
"host_verifications['email', 'phone', 'facebook', 'jumio', 'offline_government_id', 'government_id', 'work_email']",0
"host_verifications['email', 'phone', 'facebook', 'jumio', 'offline_government_id', 'government_id']",0
"host_verifications['email', 'phone', 'facebook', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",0
"host_verifications['email', 'phone', 'facebook', 'jumio', 'work_email']",-4.35788092106163
"host_verifications['email', 'phone', 'facebook', 'jumio']",0
"host_verifications['email', 'phone', 'facebook', 'kba']",0
"host_verifications['email', 'phone', 'facebook', 'linkedin', 'amex', 'reviews', 'jumio', 'government_id', 'work_email']",0
"host_verifications['email', 'phone', 'facebook', 'linkedin', 'amex', 'reviews', 'jumio', 'work_email']",0
"host_verifications['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio', 'government_id', 'work_email']",0
"host_verifications['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio', 'government_id']",0
"host_verifications['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio', 'offline_government_id', 'government_id']",0
"host_verifications['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio', 'offline_government_id', 'kba', 'government_id', 'work_email']",-0.0110149026066313
"host_verifications['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']",0
"host_verifications['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",0
"host_verifications['email', 'phone', 'facebook', 'linkedin', 'reviews', 'kba']",0.731400820569048
"host_verifications['email', 'phone', 'facebook', 'linkedin', 'reviews', 'work_email']",0
"host_verifications['email', 'phone', 'facebook', 'linkedin', 'reviews']",0
"host_verifications['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id', 'work_email']",0
"host_verifications['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",0
"host_verifications['email', 'phone', 'facebook', 'reviews', 'jumio', 'kba', 'work_email']",0
"host_verifications['email', 'phone', 'facebook', 'reviews', 'jumio', 'kba']",0
